Price,Num_Bedrooms,Num_Bathrooms,Floor_Area,Land_Area,LRTHubDist,BusCount,MallCount,SchoolCount,HospitalCount,ATMCount,employment_generation,local_economy_growth,local_economy_size,presence_of_business_and_professional_organizations,safety_compliant_business,DBSCAN_Cluster
80000000.0,10.0,10.0,325.0,0.0,1.56937611929952,3,0,19,0,8,1.0473,0.2141,1.3742,0.0185,0.7263,0
112000000.0,22.0,0.0,0.0,0.0,6.47012028641756,3,1,16,4,7,1.0473,0.2141,1.3742,0.0185,0.7263,0
70000000.0,16.0,0.0,600.0,0.0,0.891694090278903,20,2,21,2,13,1.0473,0.2141,1.3742,0.0185,0.7263,0
650000000.0,82.0,82.0,5128.38,0.0,3.95371363554156,8,3,14,0,15,1.0473,0.2141,1.3742,0.0185,0.7263,-1
54000000.00000001,5.0,5.0,335.0,0.0,2.2691232871012,4,0,16,0,5,1.0473,0.2141,1.3742,0.0185,0.7263,0
41760000.0,4.0,0.0,0.0,0.0,5.01926971326027,15,1,16,1,7,1.0473,0.2141,1.3742,0.0185,0.7263,0
150000000.0,1.0,1.0,1100.0,0.0,3.00150108604283,4,3,8,0,3,1.0473,0.2141,1.3742,0.0185,0.7263,0
11050000.0,2.0,2.0,40.0,0.0,3.27706030645861,29,9,8,0,45,1.0473,0.2141,1.3742,0.0185,0.7263,-1
100000000.0,4.0,4.0,331.0,0.0,3.31910268584829,11,6,13,0,16,1.0473,0.2141,1.3742,0.0185,0.7263,0
550000000.0,1.0,0.0,5878.0,0.0,3.32286201231306,15,6,12,0,19,1.0473,0.2141,1.3742,0.0185,0.7263,-1
350000000.0,51.0,0.0,5557.0,0.0,3.32274828600465,15,6,12,0,19,1.0473,0.2141,1.3742,0.0185,0.7263,-1
43000000.0,127.0,0.0,891.0,0.0,1.55922466738988,40,4,15,1,40,1.0473,0.2141,1.3742,0.0185,0.7263,-1
24000000.0,1.0,0.0,450.0,0.0,1.54070787187374,16,2,18,1,24,1.0473,0.2141,1.3742,0.0185,0.7263,0
65000000.0,152.0,0.0,969.0,0.0,4.00969895934642,12,1,4,0,11,1.0473,0.2141,1.3742,0.0185,0.7263,-1
9000000.0,2.0,2.0,40.0,0.0,1.55922466738988,40,4,15,1,40,1.0473,0.2141,1.3742,0.0185,0.7263,0
38912000.0,7.0,0.0,256.0,0.0,5.35473689858411,19,1,22,1,7,1.0473,0.2141,1.3742,0.0185,0.7263,0
650000000.0,65.0,0.0,5128.38,0.0,3.97002691103628,8,3,14,0,15,1.0473,0.2141,1.3742,0.0185,0.7263,-1
200000000.0,28.0,0.0,0.0,0.0,3.28373814655962,5,4,8,0,7,0.2002,0.13,0.102,0.0343,0.7127,0
60000000.0,6.0,6.0,320.0,0.0,3.28373814655962,5,4,8,0,7,0.2002,0.13,0.102,0.0343,0.7127,0
230000000.0,7.0,0.0,2083.4,0.0,4.82308338829801,5,2,21,0,4,1.0473,0.2141,1.3742,0.0185,0.7263,0
330000000.0,1.0,0.0,2590.0,0.0,4.58177327137671,11,1,16,1,6,1.0473,0.2141,1.3742,0.0185,0.7263,0
7000000.0,1.0,1.0,73.0,0.0,1.6402384753289,29,4,14,0,20,1.0473,0.2141,1.3742,0.0185,0.7263,0
37000000.0,13.0,11.0,97.0,0.0,3.00150108604283,4,3,8,0,3,1.0473,0.2141,1.3742,0.0185,0.7263,0
