Location,URL,SKU,Title,Price,Category,Num_Bedrooms,Num_Bathrooms,Floor_Area,Land_Area,Description,Agent_Name,Agent_Link,Agent_Verification,File,Latitude,Longitude,LRTHubName,LRTHubDist,BusHubName,BusHubDist,HospitalHubName,HospitalHubDist,MallHubName,MallHubDist,SchoolHubName,SchoolHubDist,BusCount,HospitalCount,MallCount,SchoolCount,Concat,Property Type,Processed_Location,Matched_Zonal_Value
"Grace Park East, Caloocan",https://www.lamudi.com.ph/buy/metro-manila/caloocan/m-c-1-19-acquired-property-commercial-lot-with-imp-171867972541/,CD665FECBF57AB9PH,M C 1 19 Acquired Property Commercial Lot with Improvements for Sale in No. 90 Lot ...,78304000.00000001,land,0.0,0.0,0.0,760.0,"Lots Sale shall be on ""as is where is"" basis. All offers are subject to Management approval. Availability of units and prices are subject to change without prior notice. Misprints should not be construed as misrepresentation of the property. BDO Unib",Property Management,https://www.lamudi.com.ph/bdo-asset-management-group/,FULLY VERIFIED,Caloocan,120.9905434,14.6514006,Monumento,0.790786555433662,n12297138761,0.635062780590986,n255066691,0.261535047861406,North Mall,0.698302233073698,w40941344,0.414119972220873,15,10,2,15,78304000.00000001 land 0.0 0.0 0.0 760.0,CR,grace park east caloocan,**
"Maypajo, Caloocan",https://www.lamudi.com.ph/buy/metro-manila/caloocan/prime-684-sq-meters-industrial-lot-for-sale-in-cal-16933288764/,LA64E8615B59B24PH,Prime 684 sq. meters Industrial Lot for Sale in Caloocan City,70000000.0,land,0.0,0.0,0.0,684.0,Are you looking for the perfect industrial lot that combines strategic location and excellent accessibility? Look no further! We are thrilled to present this industrial lot for sale which is an exceptional opportunity for investors and businesses alike.,Vested Realty,https://www.lamudi.com.ph/dennis-john-chan/,FULLY VERIFIED,Caloocan,120.9718576,14.6391951,R. Papa,1.17862096536732,n7604239104,0.694161803242025,w312353855,0.441908524550414,SM Center Sangandaan,2.12758033433329,w1205430235,0.11283740355869,3,2,0,20,70000000.0 land 0.0 0.0 0.0 684.0,CR,maypajo caloocan,18000
"Bagumbong, Caloocan",https://www.lamudi.com.ph/buy/metro-manila/caloocan/03035-a-054-building-for-sale-in-sampaguita-subdi-169719201642/,CO652918502CFB6PH, 03035 A 054 Building for sale in Sampaguita Subdivision at Caloocan City Metro Mani...,4420000.0,commercial,0.0,0.0,0.0,240.0,"Green Tag in possession, with complete property documents It is expected from buyers to conduct due diligence including the actual physical inspection of the property prior to submitting an offer. PRICES ARE SUBJECT TO CHANGE WITHOUT PRIOR NOTICEMode of",Buena Mano,https://www.lamudi.com.ph/buena-mano/,FULLY VERIFIED,Caloocan,121.030937,14.770899,Roosevelt,12.5795303635035,n6028569785,0.619961849563988,w534775070,1.33998405510321,Rustan’s Supercenter,2.13813121175184,r11914870,0.168710830319029,3,0,0,2,4420000.0 commercial 0.0 0.0 0.0 240.0,CR,bagumbong caloocan,18000
"Bagumbong, Caloocan",https://www.lamudi.com.ph/projects/kingstown-subdivision/msg-14-0161-kingstown-subdivision-caloocan-residen-172128874186/,LA66849B3EAFF77PH,"MSG 14 0161 Kingstown Subdivision,Caloocan Residential Lot With Improvement",3472999.9999999995,land,0.0,0.0,0.0,40.0,"Kingstown 2, Subd. Brgy. 171, Caloocan City Code MSG 14 0161 Type RESIDENTIAL LOT WITH IMPROVEMENT Lot Area 40 sq.m Floor Area 147.2 sq.m Selling Price Php 3,473,000.00 Ready to make it yours? Here's the deal 20 Downpayment 80 Balance Seize the o",MSGRDC Alquileta,https://www.lamudi.com.ph/my-saving-grace-realty-development-corp/,FULLY VERIFIED,Caloocan,121.0176813,14.7514674,Roosevelt,10.391330191022,n2456432699,2.65106015041577,w796759425,2.22717392585057,Rustan’s Supercenter,2.84423322734759,n10798608696,0.575790537309688,0,0,0,3,3472999.9999999995 land 0.0 0.0 0.0 40.0,CR,bagumbong caloocan,17500
"Grace Park East, Caloocan",https://www.lamudi.com.ph/buy/metro-manila/caloocan/for-sale-rizal-avenue-caloocan-building-171289729757/,CO6618BD1132D7CPH,FOR SALE Rizal Avenue Caloocan Building,130000000.0,commercial,0.0,0.0,1800.0,650.0,"Location Along Rizal Avenue, Brgy. 51, Caloocan Near LRT Station Lot Area 650.0 sqm Floor Area 1,800 m estimated Accessible from National Highway Yes Lot Terrain Flat Land Classification Commercial VAT Inc. Price Php130.0 Mn Title Status Clea",Juan Alfredo Patag,https://www.lamudi.com.ph/re-max-capital/,FULLY VERIFIED,Caloocan,120.9905434,14.6514006,Monumento,0.790786555433662,n12297138761,0.635062780590986,n255066691,0.261535047861406,North Mall,0.698302233073698,w40941344,0.414119972220873,15,10,2,15,130000000.0 commercial 0.0 0.0 1800.0 650.0,CR,grace park east caloocan,57000
"Santa Quiteria, Caloocan",https://www.lamudi.com.ph/buy/metro-manila/caloocan/comemrcial-residential-building-for-sale-located-in-caloocan-city/,AP628763E43E086PH,Comemrcial Residential Building For Sale Located In Caloocan City,35000000.0,commercial,0.0,0.0,1500.0,348.0,"IP 80005 Comemrcial Residential Building For Sale Located In Caloocan City Location Brgy. Sta. Quiteria, Caloocan City Dertails Lot Area 348 square meter Floor Area 1,500 square meter 5 Storey 27 Units 20 Units tenanted In close proximity",Sapphiregate Philippines,https://www.lamudi.com.ph/sapphiregate-philippines/,FULLY VERIFIED,Caloocan,121.0103712,14.6818912,Balintawak,2.80419759670723,n10181905287,0.902190460080842,n255071258,0.794016717018822,YIC City Square,1.14764761617793,w677535585,0.169994658517088,2,1,0,9,35000000.0 commercial 0.0 0.0 1500.0 348.0,CR,santa quiteria caloocan,1000
"Camarin, Caloocan",https://www.lamudi.com.ph/projects/sampaguita-subdivision/msg-44-0001-sampaguita-subdivision-camarin-calooca-169935316912/,CO654A1251DDD17PH,"MSG 44 0001 Sampaguita Subdivision,Camarin,Caloocan Foreclosed Building",5200000.0,commercial,0.0,0.0,0.0,240.0,"All properties are offered on As is, Where is basis. Titles of properties are either under Seller s name or under various stages of consolidation in the Seller s name. Interested parties are therefore advised to check the title, the physical an",MSGRDC Alquileta,https://www.lamudi.com.ph/my-saving-grace-realty-development-corp/,FULLY VERIFIED,Caloocan,121.0322912,14.7701307,Roosevelt,12.5080339159468,n6028569785,0.741922918396851,w534775070,1.18228439796151,Rustan’s Supercenter,1.98024176904577,r11914869,0.10058506535447,3,0,0,3,5200000.0 commercial 0.0 0.0 0.0 240.0,CR,camarin caloocan,40000
"Llano, Caloocan",https://www.lamudi.com.ph/projects/sunriser-village/msg-14-0192-llano-caloocan-residential-lot-with-im-17199665376/,LA66849B491DA0DPH,"MSG 14 0192 Llano,Caloocan Residential Lot With Improvement",3192000.0,land,0.0,0.0,0.0,75.0,"Whispering Palms Subdivision, Sunriser Village, Brgy. 167, Caloocan City Code MSG 14 0192 Type RESIDENTIAL LOT WITH IMPROVEMENT Lot Area 75 sq.m Floor Area 222.25 sq.m Selling Price Php 3,192,000.00 Ready to make it yours? Here's the deal 20 Down",MSGRDC Alquileta,https://www.lamudi.com.ph/my-saving-grace-realty-development-corp/,FULLY VERIFIED,Caloocan,121.0112016,14.7293452,Balintawak,8.0020605002997,n10285777978,1.15390017626895,n255058913,1.17003519569079,Rustan’s Supercenter,4.57894982806334,w985679860,0.205438830030289,0,0,0,9,3192000.0 land 0.0 0.0 0.0 75.0,CR,llano caloocan,35000
"Kaybiga, Caloocan",https://www.lamudi.com.ph/buy/metro-manila/caloocan/industrial-or-commercial-vacant-lot-for-sale-locat-172421021714/,LA6629CBC43FE99PH,Industrial or Commercial Vacant Lot For Sale located in Mindanao Avenue,54925000.0,land,0.0,0.0,0.0,845.0,"Property Details Land size 845 sqm 65,000 per sqm Commercial Industrial Zoning Clean Title 3KM distance from NLEX Mindanao Exit Near proposed Subway Station 1, Mindanao Quirino Station.",Rose Teñosa,https://www.lamudi.com.ph/cassie-tenosa-agn-595379/,FULLY VERIFIED,Caloocan,121.0127225,14.7194852,Roosevelt,6.90529997261877,n10285777978,0.434095780655371,n255058913,0.599474482556458,One Mall Valenzuela,3.74717939515429,n9495871210,0.602612849234131,3,3,0,5,54925000.0 land 0.0 0.0 0.0 845.0,CR,kaybiga caloocan,26000
"Bagumbong, Caloocan",https://www.lamudi.com.ph/projects/bankers-village-caloocan/banker-s-vill-north-caloocan-city-brgy-171-lot-for-172051561137/,LA66220176B88BFPH,BANKER'S VILL North Caloocan City Brgy 171 LOT for SALE 676 SQM 11.5K sqm,7774000.000000002,land,0.0,0.0,0.0,676.0,"BANKER'S VILLAGE 1, Brgy 171, Bagumbong, North Caloocan City Lot Area 676 sqm 2 adjacent lots corner inner lots Price Php 11,500 sqm. neg Ramon Zamuco, Jr. REB PRC Licensed Real Estate Broker No. 0031074",Ramon Zamuco Jr.,https://www.lamudi.com.ph/mon-zamuco-jr/,FULLY VERIFIED,Caloocan,121.0176813,14.7514674,Roosevelt,10.391330191022,n2456432699,2.65106015041577,w796759425,2.22717392585057,Rustan’s Supercenter,2.84423322734759,n10798608696,0.575790537309688,0,0,0,3,7774000.000000002 land 0.0 0.0 0.0 676.0,CR,bagumbong caloocan,17500
